ticker,name
ADS.DE,Adidas
AIR.PA,Airbus
ALV.DE,Allianz
BAS.DE,BASF
BAYN.DE,Bayer
BEI.DE,Beiersdorf
BMW.DE,BMW
BNR.DE,Brenntag
CBK.DE,Commerzbank
CON.DE,Continental
DB1.DE,Deutsche Börse
DBK.DE,Deutsche Bank
DHL.DE,Deutsche Post
DTE.DE,Deutsche Telekom
DTG.DE,Daimler Truck
ENR.DE,Siemens Energy
EOAN.DE,E.ON
FME.DE,Fresenius Medical Care
FRE.DE,Fresenius
G1A.DE,GEA Group
G24.DE,Scout24
HEI.DE,Heidelberg Materials
HEN3.DE,Henkel
HNR1.DE,Hannover Re
IFX.DE,Infineon Technologies
MBG.DE,Mercedes-Benz Group
MRK.DE,Merck
MTX.DE,MTU Aero Engines
MUV2.DE,Munich Re
PAH3.DE,Porsche SE
QIA.DE,Qiagen
RHM.DE,Rheinmetall
RWE.DE,RWE
SAP.DE,SAP
SHL.DE,Siemens Healthineers
SIE.DE,Siemens
SY1.DE,Symrise
VNA.DE,Vonovia
VOW3.DE,Volkswagen Group
ZAL.DE,Zalando
